Description, SNOMED-CT, HCPCS, ICD-10
Hypertension,38341003,,I10
Prediabetes,15777000,,R73.09
Diabetes,44054006,0403T,E11.9
Diabetic renal disease (disorder),127013003,1008F,E11.21
End stage renal disease (disorder),46177005,,N18.6
Diabetic retinopathy associated with type II diabetes mellitus (disorder),422034002,67227,E11.319
History of limb amputation (situation),271396005,,Z89.9
Allergy to peanuts,91935009,95044,Z91.010
Allergy to nut,91934008,95044,Z91.018
Allergy to fish,417532002,95044,Z91.013
Shellfish allergy,300913006,95044,Z91.013
Stroke,230690007,1065F,I63.9
Natural death with unknown,9855000,,
Coronary Heart Disease,53741008,,I25.10
Myocardial Infarction,22298006,0439T,I21.3
Cardiac Arrest,410429000,,I46.9
Atrial Fibrillation,49436004,93657,I48.91
Disorder of cardiovascular,49601007,,R94.30
History of lower limb amputation (situation),161622006,,Z89.9
History of amputation of foot (situation),429280009,,Z89.439
History of disarticulation at wrist (situation),698423002,,Z87.828
History of upper limb amputation (situation),161621004,,Z89.209
History of myocardial infarction (situation),399211009,,I25.2
History of cardiac arrest (situation),429007001,,Z86.74
Diabetes self management plan,698360004,0403T,
Diabetic diet,160670007,,
Exercise therapy,229065009,97110,
?,698358001,,
Healthy diet,226234005,,
Stress management,226060000,,
?,710081004,G9016,
Type II Diabetes Mellitus Well Controlled,444110003,,E11.9
xCardiac status is consistent with or improved from preoperative baseline,413757005,,
Recommendation to stop drug treatment,304540007,,
Half to one hour before food,311501008,,
Amputation of left arm,13995008,23920,S48.012A
Amputation of right hand,46028000,25927,
Amputation of right foot,180030006,27888,Z89.439
Amputation of right leg,79733001,27290,Z89.619
Monophasic defibrillation,429500007,33216,
Insertion of biventricular implantable cardioverter defibrillator,447365002,33270,Z95.810
Catheter ablation of tissue of heart,18286008,,
Percutaneous coronary intervention,415070008,,Z98.61
,232717009,,
Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance,433112001,,
Electrical cardioversion,180325003,,
Outpatient Encounter,170258001,,
"Encounter for check-up",185349003,,
Emergency room admission,50849002,,
Death Certification,308646001,,
Seasonal allergic rhinitis,367498001,,
J30.89,446096008,,
Perennial allergic rhinitis with seasonal variation,232353008,,
Encounter for symptom,185345009,,
Allergy to wheat,420174000,86001,Z91.018
Allergy to eggs,91930004,86001,Z91.012
Allergy to soy,714035009,86001,Z91.018
Allergy to dairy product,425525006,86001,Z91.011
Allergy to tree pollen,419263009,86001,J30.1
Allergy to grass pollen,418689008,86001,J30.1
Dander (animal) allergy,232347008,86001,Z91.09
House dust mite allergy,232350006,86001,J30.89
Allergy to mould,419474003,86001,Z91.048
Allergy to bee venom,424213003,86001,Z91.030
Latex allergy,300916003,860014,Z91.040
Allergic disorder initial assessment,170837001,95044,T78.40XA
T78.40XD,170836005,Allergic disorder monitoring,
95004,395142003,,
Outpatient procedure,371883000,,
Subcutaneous immunotherapy,180256009,,
Allergic disorder follow-up assessment,170838006,,
Acute allergic reaction,241929008,,
Injection of adrenaline,313191000,,
Encounter for problem,185347001,,
Allergy education,58332002,,
K37,74400008,,
K35.2,47693006,,
Z90.49,428251008,,
Encounter Inpatient,183452005,,
Appendectomy,80146002,44950,
1039F,233678006,,
1039F,195967001, uncomplicated,
1005F,171231001,,
1038F,699728000,,
4140F,710818004,,
A7003,708409001,,
94010,229298005,,
Emergency hospital admission for asthma,183478001,,
Asthma follow-up,394701000,,
Child attention deficit disorder,192127007,,
Overactivity/inattention behavior management,386522008,,
Counseling,409063005,,
Psychological assessment,405783006,90791,
Cognitive and behavioral therapy,228557008,,
Acute bronchitis (disorder),10509002,,
Plain chest X-ray (procedure),399208008,71010,
Sputum examination (procedure),269911007,89220,
Measurement of respiratory function (procedure),23426006,94375,
Respiratory therapy,53950000,,
Recommendation to avoid exercise,304510005,,
Deep breathing and coughing exercises,371605008,,
Colonoscopy,73761001,44388,
Polyp of colon,68496003,,
Rectal polypectomy,274031008,,
Biopsy of colon,76164006,44389,
Recurrent rectal polyp,713197008,,
Protracted diarrhea,236077008,,
Bleeding from anus,6072007,,
Primary malignant neoplasm of colon,93761005,,
Overlapping malignant neoplasm of colon,109838007,,
C18.9,363406005,,
Secondary malignant neoplasm of colon,94260004,,
Cancer care plan,395082007,,
Colonoscopy planned,703993001,,
Cancer education,243072006,,
Z90.49,43075005,,
Liquid diet,10888001,,
Administration of intravenous fluids,103744005,,
Construction of diverting colostomy,387607004,,
Combined chemotherapy and radiation therapy (procedure),703423002,,
Patient encounter procedure,308335008,,
Replacement of contraceptive intrauterine device,46706006,,
Removal of intrauterine device,68254000,,
Removal of subcutaneous contraceptive,301807007,,
Intramuscular injection,76601001,,
Consultation for treatment,698314001,,
Admission to surgical department,305408004,,
Bilateral tubal ligation,287664005,,
Recommendation to rest,183051005,,
Recommendation to limit sexual activity,243077000,,
Insertion of subcutaneous contraceptive,169553002,,
Insertion of intrauterine contraceptive device,65200003,,
Vasectomy,22523008,00921,
Pulmonary emphysema (disorder),87433001,,
Chronic obstructive bronchitis (disorder),185086009,,
Spirometry (procedure),127783003,,
Chronic obstructive pulmonary disease clinical management plan,412776001,,
Pulmonary rehabilitation (regime/therapy),15081005,,
